Topic,Name,Document,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
-1,-1_notes_note_article_proposed,4762,4762,4762,4762,4762,4762
0,0_cn_cns_abusing_abuse,892,892,892,892,892,892
1,1_hamas_gaza_palestinians_palestinian,794,794,794,794,794,794
2,2_transgender_lgbt_transphobic_genders,308,308,308,308,308,308
3,3_video_videos_footage_source,218,218,218,218,218,218
4,4_photo_photos_image_picture,184,184,184,184,184,184
5,5_vaccines_vaccine_vaccination_vaccinated,179,179,179,179,179,179
6,6_tax_taxes_taxed_taxpayer,165,165,165,165,165,165
7,7_convicted_accused_conviction_sentencing,163,163,163,163,163,163
8,8_notes_proposed_note_nnn,149,149,149,149,149,149
9,9_ukraine_crimea_ukrainian_ukrainians,133,133,133,133,133,133
10,10_notes_note_necessary_needed,127,127,127,127,127,127
11,11_dates_date_today_recent,115,115,115,115,115,115
12,12_community_nnn_opinions_notes,115,115,115,115,115,115
13,13_scored_goals_penalty_offside,113,113,113,113,113,113
14,14_tweets_twitter_tweet_notes,112,112,112,112,112,112
15,15_ai_aigenerated_aiart_generated,92,92,92,92,92,92
16,16_gandhi_rahul_singh_bjp,90,90,90,90,90,90
17,17_parody_parodyquot_account_accounts,83,83,83,83,83,83
18,18_opinions_opinion_nnn_opinionated,81,81,81,81,81,81
19,19_nnn_joke_clearly_nnnthis,72,72,72,72,72,72
20,20_notes_community_nnn_abusing,71,71,71,71,71,71
21,21_notes_tweet_note_tweets,70,70,70,70,70,70
22,22_notes_jokes_community_communitynoting,69,69,69,69,69,69
23,23_elon_elons_nnn_notes,68,68,68,68,68,68
24,24_harris_kamala_kamalas_harriss,68,68,68,68,68,68
25,25_tweet_tweets_twitters_opinionsspeculation,67,67,67,67,67,67
26,26_spotify_swift_drake_album,64,64,64,64,64,64
27,27_note_notes_joke_jokebut,64,64,64,64,64,64
28,28_biden_bidens_quoting_argument,63,63,63,63,63,63
29,29_pets_animals_animal_dogs,60,60,60,60,60,60
30,30_opinion_opinions_nnn_opinionstory,59,59,59,59,59,59
31,31_notes_misleading_misinformation_community,58,58,58,58,58,58
32,32_ad_advert_advertisement_ads,57,57,57,57,57,57
33,33_muslim_islamic_islam_muslims,55,55,55,55,55,55
34,34_abortion_abortions_aborted_justices,54,54,54,54,54,54
35,35_salute_gesture_nazi_nazis,52,52,52,52,52,52
36,36_polls_polling_polled_pollsters,49,49,49,49,49,49
37,37_musk_musks_claim_httpsenwikipediaorgwikisocialism,48,48,48,48,48,48
38,38_claim_claims_false_misleading,47,47,47,47,47,47
39,39_racist_racism_racial_race,47,47,47,47,47,47
40,40_value_million_billion_dollars,46,46,46,46,46,46
41,41_fact_facts_factual_opinion,46,46,46,46,46,46
42,42_nnn_comments_take_nn,45,45,45,45,45,45
43,43_gdp_growth_economy_economic,45,45,45,45,45,45
44,44_satire_satirememeing_satirical_clearly,44,44,44,44,44,44
45,45_inflation_inflationquot_economy_trillion,44,44,44,44,44,44
46,46_misleading_misleadingquot_mislead_nnn,43,43,43,43,43,43
47,47_opinions_opinion_opinionated_nnn,41,41,41,41,41,41
48,48_crime_crimes_fbi_police,41,41,41,41,41,41
49,49_shut_nnn_stop_fuck,39,39,39,39,39,39
50,50_satirical_satire_satirejoke_satirejoking,38,38,38,38,38,38
51,51_policeman_police_officers_officer,38,38,38,38,38,38
52,52_courts_cases_injunctions_sued,37,37,37,37,37,37
53,53_meme_nnn_memes_memejoke,37,37,37,37,37,37
54,54_emissions_coal_gas_co2,36,36,36,36,36,36
55,55_notes_political_politics_partisan,36,36,36,36,36,36
56,56_satire_notes_satirical_note,36,36,36,36,36,36
57,57_factually_factual_nnn_factquot,35,35,35,35,35,35
58,58_tweets_twittercompolicy_tweet_cn,34,34,34,34,34,34
59,59_speculation_speculations_speculative_nnn,34,34,34,34,34,34
60,60_ps5_playstation_rockstargames_ps4,34,34,34,34,34,34
61,61_trudeaus_quebec_trudeau_canadas,33,33,33,33,33,33
62,62_books_booksquot_book_bookshop,33,33,33,33,33,33
63,63_voter_ballot_voting_electoral,32,32,32,32,32,32
64,64_nnn_opinion_personal_stating,32,32,32,32,32,32
65,65_farming_engagement_farms_farm,31,31,31,31,31,31
66,66_satirical_satire_satirically_humorous,30,30,30,30,30,30
67,67_tesla_teslas_ev_evs,30,30,30,30,30,30
68,68_notes_note_noters_community,29,29,29,29,29,29
