Topic,Name,Document,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
-1,-1_claims_fake_evidence_misleading,15294,15294,15294,15294,15294,15294
0,0_vaccines_vaccine_vaccination_vaccinated,1128,1128,1128,1128,1128,1128
1,1_hindus_hindu_bjp_gujarat,741,741,741,741,741,741
2,2_messi_ronaldo_goals_mbappe,572,572,572,572,572,572
3,3_ukraine_ukraines_russia_moscow,496,496,496,496,496,496
4,4_account_httpsweb3antivirusioscamreportid533895_impersonating_user,311,311,311,311,311,311
5,5_photoshopped_image_photo_images,310,310,310,310,310,310
6,6_voter_ballots_ballot_voting,290,290,290,290,290,290
7,7_ai_generated_images_image,260,260,260,260,260,260
8,8_xbox_consoles_playstation_ps5,256,256,256,256,256,256
9,9_notes_httpscommunitynotestwittercomguideenunderthehoodrankingnotes_httpsenmwikipediaorgwikicommunitynotes_tweets,245,245,245,245,245,245
10,10_gaza_hamas_palestinian_palestine,216,216,216,216,216,216
11,11_tesla_teslas_driven_ford,214,214,214,214,214,214
12,12_referendum_constituency_mps_parliamentary,212,212,212,212,212,212
13,13_caisedo_impersonates_impersonation_moises,196,196,196,196,196,196
14,14_ios_apple_iphone_ipad,182,182,182,182,182,182
15,15_phishing_malicious_metamask_deceptive,170,170,170,170,170,170
16,16_contrails_contrail_chemtrails_condensation,167,167,167,167,167,167
17,17_engagement_farming_engage_engaging,152,152,152,152,152,152
18,18_nfl_playoff_playoffs_packers,143,143,143,143,143,143
19,19_gaza_photo_palestinian_israeli,141,141,141,141,141,141
20,20_fuels_renewable_fuel_emissions,137,137,137,137,137,137
21,21_scam_aliexpress_httpswwwwiredcoukarticledropshippinginstagramads_dropshipping,134,134,134,134,134,134
22,22_quotes_quotation_quote_voltaire,134,134,134,134,134,134
23,23_musk_musks_elonmusk_elon,131,131,131,131,131,131
24,24_tweet_twitter_tweets_httpswwwtweetgencom,130,130,130,130,130,130
25,25_promos_promotional_twitter_onlyfans,121,121,121,121,121,121
26,26_assassination_assassinated_staged_assassinate,119,119,119,119,119,119
27,27_firearms_firearm_handgun_handguns,118,118,118,118,118,118
28,28_pakistani_khan_pak_pakistanis,116,116,116,116,116,116
29,29_wildfires_fires_wildfire_forests,116,116,116,116,116,116
30,30_unemployment_workforce_jobs_pandemic,116,116,116,116,116,116
31,31_taiwan_taiwanese_chinese_prc,115,115,115,115,115,115
32,32_racism_racist_racismquot_discrimination,111,111,111,111,111,111
33,33_2025_httpswwwheritageorgconservatismcommentaryproject2025_httpswwwsnopescomnews20240703project2025trumpusgovernment_trump,105,105,105,105,105,105
34,34_kursk_ukraine_ukrainians_ukrainian,104,104,104,104,104,104
35,35_abortion_abortions_abortionquot_fetus,104,104,104,104,104,104
36,36_paintings_artwork_painting_art,101,101,101,101,101,101
37,37_genocide_gaza_palestinians_palestine,99,99,99,99,99,99
38,38_inflation_inflationary_cpi_monetary,93,93,93,93,93,93
39,39_funding_ukraine_aid_expenditure,90,90,90,90,90,90
40,40_spotify_albums_songs_riaa,87,87,87,87,87,87
41,41_video_2024_2022_2023,86,86,86,86,86,86
42,42_marketed_dropshipping_counterfeited_counterfeit,86,86,86,86,86,86
43,43_onlyfans_inappropriate_prohibited_advertisement,86,86,86,86,86,86
44,44_advertisements_gambling_advertisement_advertising,86,86,86,86,86,86
45,45_autism_vaccines_vaccine_vaccinations,85,85,85,85,85,85
46,46_khelif_khelifs_imane_khalif,84,84,84,84,84,84
47,47_airplane_pilot_pilots_aviation,82,82,82,82,82,82
48,48_aliexpress_dropshipper_dropshipped_dropshipping,81,81,81,81,81,81
49,49_gazas_gaza_casualties_hamas,81,81,81,81,81,81
50,50_tas_false_incorrect_claims,80,80,80,80,80,80
51,51_felon_felony_convicted_conviction,80,80,80,80,80,80
52,52_phishing_metamask_malicious_app,78,78,78,78,78,78
53,53_fema_funding_aid_hurricane,77,77,77,77,77,77
54,54_pets_peta_haitians_pet,74,74,74,74,74,74
55,55_crime_crimes_homicides_murders,74,74,74,74,74,74
56,56_olympic_fiba_fibas_olympics,74,74,74,74,74,74
57,57_kenya_kenyan_kenyas_kenyans,74,74,74,74,74,74
58,58_islamism_islam_muslim_islamic,72,72,72,72,72,72
59,59_gambling_advertisement_promoting_monetization,72,72,72,72,72,72
60,60_nigeria_lagos_nigerias_nigerian,71,71,71,71,71,71
61,61_phishing_tonclaimsigntg_malicious_deceptive,70,70,70,70,70,70
62,62_palestine_palestinians_palestinian_israel,68,68,68,68,68,68
63,63_gamblingrelated_gambling_stake_gamblingquot,67,67,67,67,67,67
64,64_climate_warming_temperatures_temperature,67,67,67,67,67,67
65,65_trudeaus_trudeau_poilievre_poilievres,67,67,67,67,67,67
66,66_migrants_asylum_migrant_refugees,67,67,67,67,67,67
67,67_ivermectin_antiviral_covid_covid19,66,66,66,66,66,66
68,68_viewership_viewers_twitch_stream,65,65,65,65,65,65
69,69_taxation_tax_taxes_taxraising,64,64,64,64,64,64
70,70_policeman_officers_officer_assault,64,64,64,64,64,64
71,71_phishing_scam_httpsweb3antivirusioscamreportid495785_httpsweb3antivirusioscamreportid495483,63,63,63,63,63,63
72,72_videos_ai_video_youtube,63,63,63,63,63,63
73,73_scam_fraud_musk_httpswwwfoxbusinesscompoliticsconsumergroupissuesalertblackrockswokecrusadenoregardamericanfamilies,62,62,62,62,62,62
74,74_aged_younger_age_ages,61,61,61,61,61,61
75,75_southport_cardiff_suspect_lancashire,61,61,61,61,61,61
76,76_animals_mammal_animal_raccoons,60,60,60,60,60,60
77,77_donations_fundraising_funding_donors,60,60,60,60,60,60
78,78_pedophilia_pedophile_pedophiles_minors,60,60,60,60,60,60
79,79_hatred_censorship_speech_discriminatory,59,59,59,59,59,59
80,80_acquitted_convicted_homicide_kyle,58,58,58,58,58,58
81,81_copyright_attribution_stolen_stole,58,58,58,58,58,58
82,82_irish_irelands_irelandnorthern_ireland,58,58,58,58,58,58
83,83_genders_gender_sexes_transexual,58,58,58,58,58,58
84,84_taylor_swift_swifts_taylors,57,57,57,57,57,57
85,85_scam_scammers_scamscheme_crypto,57,57,57,57,57,57
86,86_satire_satireparody_satirequot_satirical,56,56,56,56,56,56
87,87_advertisement_advert_gambling_casino,55,55,55,55,55,55
88,88_impersonating_account_user_httpsbountygithubcomineligiblehtmlimpersonatingauserthroughgitemailaddress,55,55,55,55,55,55
89,89_eclipse_eclipses_astronomy_andromeda,55,55,55,55,55,55
90,90_kohli_cricketer_rahul_sharma,54,54,54,54,54,54
